"COUNTRY,""Country"",""VAR"",""Variable"",""POPULATION"",""Population"",""TIME"",""Time"",""Value"",""Flag Codes"",""Flags"""
"AUT,""Austria"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2014"",""2014"",19.65711,,"
"AUT,""Austria"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2017"",""2017"",15.75609,,"
"AUT,""Austria"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2011"",""2011"",35.59853,,"
"AUT,""Austria"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2014"",""2014"",34.413719,,"
"AUT,""Austria"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2017"",""2017"",32.734619,,"
"AUT,""Austria"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2011"",""2011"",9.1847029,,"
"AUT,""Austria"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2014"",""2014"",9.5928574,,"
"AUT,""Austria"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2017"",""2017"",7.4573159,,"
"AUT,""Austria"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2011"",""2011"",23.569071,,"
"AUT,""Austria"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2014"",""2014"",25.527981,,"
"AUT,""Austria"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2017"",""2017"",22.71455,,"
"AUT,""Austria"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2011"",""2011"",61.705608,,"
"AUT,""Austria"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2014"",""2014"",56.49596,,"
"AUT,""Austria"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2017"",""2017"",55.59053,,"
"AUT,""Austria"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2011"",""2011"",48.436668,,"
"AUT,""Austria"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2014"",""2014"",43.521671,,"
"AUT,""Austria"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2017"",""2017"",43.167801,,"
"BEL,""Belgium"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2010"",""2010"",123202,,"
"BEL,""Belgium"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",114248,,"
"BEL,""Belgium"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",132116,,"
"BEL,""Belgium"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2010"",""2010"",30226,,"
"BEL,""Belgium"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",39704,,"
"BEL,""Belgium"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",45388,,"
"BEL,""Belgium"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2010"",""2010"",338636,,"
"BEL,""Belgium"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",330265,,"
"BEL,""Belgium"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",366212,,"
"BEL,""Belgium"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2010"",""2010"",146884,,"
"BEL,""Belgium"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2014"",""2014"",142071,,"
"BEL,""Belgium"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2017"",""2017"",158021.7,,"
"BEL,""Belgium"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2010"",""2010"",245661,,"
"BEL,""Belgium"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",255722,,"
"BEL,""Belgium"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",279484,,"
"BEL,""Belgium"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2010"",""2010"",1.641879,,"
"BEL,""Belgium"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2014"",""2014"",1.515373,,"
"BEL,""Belgium"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2017"",""2017"",1.723756,,"
"BEL,""Belgium"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2010"",""2010"",0.18200001,,"
"BEL,""Belgium"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.18700001,,"
"BEL,""Belgium"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.264,,"
"BEL,""Belgium"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2010"",""2010"",0.80000001,,"
"BEL,""Belgium"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.79900002,,"
"BEL,""Belgium"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.90499997,,"
"BEL,""Belgium"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2010"",""2010"",9.9203749,,"
"BEL,""Belgium"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2014"",""2014"",8.8634043,,"
"BEL,""Belgium"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2017"",""2017"",13.39791,,"
"BEL,""Belgium"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2010"",""2010"",44.806961,,"
"BEL,""Belgium"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2014"",""2014"",48.386169,,"
"BEL,""Belgium"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2017"",""2017"",49.917511,,"
"BEL,""Belgium"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2010"",""2010"",15.0343,,"
"BEL,""Belgium"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2014"",""2014"",14.20884,,"
"BEL,""Belgium"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2017"",""2017"",16.099649,,"
"BEL,""Belgium"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2010"",""2010"",12.1803,,"
"BEL,""Belgium"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2014"",""2014"",12.05651,,"
"BEL,""Belgium"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2017"",""2017"",16.15992,,"
"BEL,""Belgium"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2010"",""2010"",44.022739,,"
"BEL,""Belgium"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2014"",""2014"",42.494881,,"
"BEL,""Belgium"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2017"",""2017"",47.24543,,"
"BEL,""Belgium"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2010"",""2010"",31.293131,,"
"BEL,""Belgium"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2014"",""2014"",29.708521,,"
"BEL,""Belgium"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2017"",""2017"",34.976509,,"
"CAN,""Canada"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",201400,,"
"CAN,""Canada"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2016"",""2016"",244700,,"
"CAN,""Canada"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2019"",""2019"",268200,,"
"CAN,""Canada"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",75900,,"
"CAN,""Canada"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2016"",""2016"",100000,,"
"CAN,""Canada"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2019"",""2019"",100100,,"
"CAN,""Canada"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",467400,,"
"CAN,""Canada"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2016"",""2016"",574600,,"
"CAN,""Canada"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2019"",""2019"",624900,,"
"CAN,""Canada"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2012"",""2012"",190995.09,,"
"CAN,""Canada"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2016"",""2016"",233872.5,,"
"CAN,""Canada"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2019"",""2019"",261006.59,,"
"CAN,""Canada"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2012"",""2012"",341900,,"
"CAN,""Canada"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2016"",""2016"",430000,,"
"CAN,""Canada"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2019"",""2019"",456900,,"
"CAN,""Canada"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2012"",""2012"",2.206799,,"
"CAN,""Canada"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2016"",""2016"",2.2228241,,"
"CAN,""Canada"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2019"",""2019"",2.289011,,"
"CAN,""Canada"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2012"",""2012"",0.44,,"
"CAN,""Canada"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2016"",""2016"",0.47,,"
"CAN,""Canada"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2019"",""2019"",0.44,,"
"CAN,""Canada"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2012"",""2012"",1.8099999,,"
"CAN,""Canada"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2016"",""2016"",2.0599999,,"
"CAN,""Canada"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2019"",""2019"",2.01,,"
"CAN,""Canada"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2012"",""2012"",35.047619,,"
"CAN,""Canada"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2016"",""2016"",35.669922,,"
"CAN,""Canada"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2019"",""2019"",33.65485,,"
"CAN,""Canada"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2012"",""2012"",45.395592,,"
"CAN,""Canada"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2016"",""2016"",46.97464,,"
"CAN,""Canada"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2019"",""2019"",43.9739,,"
"CAN,""Canada"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2012"",""2012"",28.761909,,"
"CAN,""Canada"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2016"",""2016"",32.076309,,"
"CAN,""Canada"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2019"",""2019"",31.51803,,"
"CAN,""Canada"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2012"",""2012"",15.5025,,"
"CAN,""Canada"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2016"",""2016"",16.714991,,"
"CAN,""Canada"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2019"",""2019"",17.51898,,"
"CAN,""Canada"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2012"",""2012"",50.309021,,"
"CAN,""Canada"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2016"",""2016"",51.071709,,"
"CAN,""Canada"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2019"",""2019"",51.381859,,"
"CAN,""Canada"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2012"",""2012"",36.498631,,"
"CAN,""Canada"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2016"",""2016"",37.039028,,"
"CAN,""Canada"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2019"",""2019"",37.32407,,"
"CHL,""Chile"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",2161074,,"
"CHL,""Chile"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",4224361,,"
"CHL,""Chile"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",4481476,,"
"CHL,""Chile"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",4250558,,"
"CHL,""Chile"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",7772442,,"
"CHL,""Chile"",""T3AC3"",""Mean liabilities per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",12200000,,"
"CHL,""Chile"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",27300000,,"
"CHL,""Chile"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",42400000,,"
"CHL,""Chile"",""T1C5"",""Mean net wealth per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",59900000,,"
"CHL,""Chile"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2011"",""2011"",8369178,,"
"CHL,""Chile"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2014"",""2014"",12900000,,"
"CHL,""Chile"",""MNWI"",""Mean net wealth per person (current prices)"",""TP"",""Total Population"",""2017"",""2017"",18800000,,"
"CHL,""Chile"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",29400000,,"
"CHL,""Chile"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",46000000,,"
"CHL,""Chile"",""T3AC1"",""Mean non-financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",66100000,,"
"CHL,""Chile"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2011"",""2011"",2.232415,,"
"CHL,""Chile"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2014"",""2014"",2.3905499,,"
"CHL,""Chile"",""M2MR"",""Mean to median net wealth ratio"",""TP"",""Total Population"",""2017"",""2017"",2.3424089,,"
"CHL,""Chile"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2011"",""2011"",0.083281182,,"
"CHL,""Chile"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.1048191,,"
"CHL,""Chile"",""T4C5"",""Median debt-to-assets ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.1627952,,"
"CHL,""Chile"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2011"",""2011"",0.2009349,,"
"CHL,""Chile"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2014"",""2014"",0.1414597,,"
"CHL,""Chile"",""T4C4"",""Median debt-to-income ratio of indebted households"",""TP"",""Total Population"",""2017"",""2017"",0.3422372,,"
"CHL,""Chile"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2011"",""2011"",7.8139858,,"
"CHL,""Chile"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2014"",""2014"",9.8329496,,"
"CHL,""Chile"",""PIH75"",""Share of indebted households with debt-to-assets ratio above 75%"",""TP"",""Total Population"",""2017"",""2017"",14.31057,,"
"CHL,""Chile"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2011"",""2011"",68.005569,,"
"CHL,""Chile"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2014"",""2014"",71.906647,,"
"CHL,""Chile"",""PIH"",""Share of indebted households"",""TP"",""Total Population"",""2017"",""2017"",65.186157,,"
"CHL,""Chile"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2011"",""2011"",5.5457468,,"
"CHL,""Chile"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2014"",""2014"",4.6376619,,"
"CHL,""Chile"",""PIHR3"",""Share of indebted households with debt-to-income ratio above 3"",""TP"",""Total Population"",""2017"",""2017"",6.5790062,,"
"CHL,""Chile"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2011"",""2011"",18.28854,,"
"CHL,""Chile"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2014"",""2014"",17.398529,,"
"CHL,""Chile"",""ST1"",""Share of top 1% of wealth"",""TP"",""Total Population"",""2017"",""2017"",15.82876,,"
"CHL,""Chile"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2011"",""2011"",55.804699,,"
"CHL,""Chile"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2014"",""2014"",57.71056,,"
"CHL,""Chile"",""ST10"",""Share of top 10% of wealth"",""TP"",""Total Population"",""2017"",""2017"",56.797508,,"
"CHL,""Chile"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2011"",""2011"",41.359921,,"
"CHL,""Chile"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2014"",""2014"",42.665958,,"
"CHL,""Chile"",""ST5"",""Share of top 5% of wealth"",""TP"",""Total Population"",""2017"",""2017"",41.07423,,"
"DEU,""Germany"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2011"",""2011"",76100,,"
"DEU,""Germany"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2014"",""2014"",82000,,"
"DEU,""Germany"",""T3AC2"",""Mean financial assets per household (current prices)"",""TP"",""Total Population"",""2017"",""2017"",83236,,"
